Source,Target,Tweet Type
viih_t0ri,derrotdevi,retweet
lucascolomb_,talvezricas,retweet
paloma_scr,bruno_8893,retweet
ahsandk97,linustech,retweet
2thiih_,willymouram,retweet
istro5,derrotdevi,retweet
blacktilte,kdutheviw,retweet
d311yl,epicgames,retweet
2thiih_,andernics,retweet
rebecac13160295,lucassbivar,retweet
wolfplaytv,instantgaminges,retweet
cpxslee,shxnku,retweet
epkpanda66,i_am_wildcat,retweet
biasototh,andernics,retweet
brendajaujau1,derrotdevi,retweet
sinrap1,tyarontyaron,retweet
sinrap1,engadgetjp,retweet
andrexavii,eusouosena,retweet
yaromi_uwu,navarreteytzel,retweet
zimzxcks,matheusdaring_,retweet
laridsf2,talvezricas,retweet
tiiago_aveiiro,talvezricas,retweet
nefi28600313,miyawakidinades,retweet
abilx_,cookieegd,reply
vnahuel15,porquetendencia,retweet
areztoo,ovanfilipi,reply
lutfiismail_,_fivem,retweet
antonioaugust03,derrotdevi,retweet
thehomiemiggs,linustech,retweet
dedjou,booska_p,retweet
itstcizzle_,linustech,retweet
tailiaprz,theorus_,retweet
fikriearief,rednesia,retweet
zodiac_mh,i_am_wildcat,retweet
luvttae2,sayorijoestar,retweet
bielofdown,andernics,retweet
lunallie,sayorijoestar,retweet
o_ondeswag,epah_que,retweet
kercrespon,derrotdevi,retweet
rvinidrive2,poxarog,retweet
arthurmh2,derrotdevi,retweet
mariannapiovan,derrotdevi,retweet
akaprodi,porquetendencia,retweet
vtuberdcd,engadgetjp,retweet
tedsadix,sayorijoestar,retweet
leoleo45248573,eusauken,retweet
crysthiandk,derrotdevi,retweet
sasaabaaby,theorus_,retweet
ajimlaa,myaksiz,retweet
__dans_ss,alvoradagames,retweet
predo_crl,alvoradagames,retweet
pedrofioretti1,derrotdevi,retweet
2007asingleleaf,bolotacmcompota,retweet
danicitig,andressagontijo,retweet
_kevinthegamer,i_am_wildcat,retweet
cheneynic,videogamedeals,retweet
alkubaisi2011,verge,retweet
pholaris1,poxarog,retweet
cowlormx,sparkoil,reply
cowlormx,hunter54mmo,retweet
cowlormx,b3liketim,retweet
mijml,derrotdevi,retweet
matiello0,gomescavalero,retweet
mx_alexis_xm,theorus_,retweet
corvacceira,eusouosena,retweet
_kiko7_,eusouosena,retweet
perei_ro,vraxooo,retweet
sammroctopus,linustech,retweet
danyysilvaa25,eusouosena,retweet
candido_manzano,derrotdevi,retweet
1010_17893,vtuberdcd,retweet
1010_17893,engadgetjp,retweet
zilmannnn,tech_lagi,retweet
kuaxy_wm,theorus_,retweet
candido_manzano,andernics,retweet
grafiti07k,andernics,retweet
drempevayt,enzoonepatate,retweet
warincorentin,shavox_,retweet
deadpool96_,bruhitsbigsam,retweet
cabellochaelisa,derrotdevi,retweet
sadobih,enzoonepatate,retweet
fallparadise_,alvoradagames,retweet
alonso99hs,bruno_8893,retweet
dani_bruninha,rzzy1407,retweet
cabellochaelisa,talvezricas,retweet
eusaulinho,reformedgabi,reply
eusaulinho,sharscut,retweet
bambi_pon,bolotacmcompota,retweet
slaygot,hypex,retweet
