Source,Target,Tweet Type
cheticamp1,callofdutyuk,reply
rjaqen,callofdutyfr,reply
zenex_lan,nvidiageforcefr,reply
isozzie,callofdutyuk,reply
zitoune_zite,callofdutyfr,reply
codjunkiedotcom,astrogaming,reply
dimzer4,callofdutyfr,reply
zankanotachi,nvidiageforcefr,reply
mr_naiiko,callofdutyfr,reply
londonbirdlucy,bagsofjan,reply
oscaaar_32,kontrolfreek,reply
danieldilbert,callofdutyuk,reply
missjadea,callofdutyuk,reply
jediryan_,callofdutyuk,reply
johnnyareed,callofdutyuk,reply
dcfcstephen,kontrolfreek,reply
connorr6s,nvidiageforcefr,reply
emmanuel__143,callofdutyuk,reply
micka9228,callofdutyfr,reply
aleexmrlt,scuffrance,reply
stormy_fm,flyingsnerz,reply
dcciidccii,callofdutyuk,reply
tinashe463,threeuk,reply
mcnubbin22,astrogaming,reply
minney_geraint,threeuk,reply
liamhowells24,callofdutyuk,reply
tonycolvin,_evin_w,reply
skye_keenan1,threeuk,reply
cybershadowwolf,callofdutyuk,reply
plague456,astrogaming,reply
mdotcdot2,callofdutyuk,reply
imdabstur,callofdutyuk,reply
theonlyalisonl,threeuk,reply
tintin4747,callofdutyfr,reply
matthieu720,callofdutyfr,reply
sauce_ki,callofdutyuk,reply
munkki66699,threeuk,reply
foxx_bb,nvidiageforceuk,reply
manon_fourfour,callofdutyfr,reply
tixounet_,callofdutyfr,reply
ph0rix,nvidiageforcefr,reply
sinay97x,nvidiageforcefr,reply
papaiia10,callofdutyfr,reply
sobest_yt,nvidiageforcefr,reply
skymudlive,callofdutyuk,reply
jasonmccann1701,callofdutyuk,reply
b119c1699ed2440,scuffrance,reply
mzulkarnein,callofdutyuk,reply
imgabinou,callofdutyfr,reply
michaelpuopolo,nvidiageforceuk,reply
logantc45,callofdutyfr,reply
blvckbonjour,nvidiageforcefr,reply
giordano9_clara,scuffrance,reply
realtombirtles,callofdutyuk,reply
ez_had,nvidiageforcefr,reply
jamietomrob,threeuk,reply
mthennessy82,threeuk,reply
kyosuke953,scuffrance,reply
alexgim45,nvidiageforcefr,reply
groslilian322,callofdutyfr,reply
shoxfps,callofdutyde,reply
rjcantu81,callofdutyuk,reply
captain_rob7897,threeuk,reply
fireguy13,kontrolfreek,reply
runnerpaulyz,scuffrance,reply
afkbtw,nvidiageforcefr,reply
ryands88903637,callofdutyuk,reply
ortiixig,nvidiageforcefr,reply
spinos16,nvidiageforcefr,reply
charlesjhallory,astrogaming,reply
antar3omar,callofdutyfr,reply
scapics,callofdutyfr,reply
aspectfury,nvidiageforceuk,reply
thechaosronin,callofdutyuk,reply
thepumarada,callofdutyes,reply
grldtharkhod,nvidiageforcefr,reply
legoironman1,callofdutyuk,reply
ribeiroharley,astrogaming,reply
coocool85,callofdutyfr,reply
chrismcknight01,geekstoredotcom,reply
lakerspadres,ameenmonjezi,reply
itzdynamic,nvidiageforceuk,reply
lambent_lucky,astrogaming,reply
ethansilvestro,nvidiageforceuk,reply
flzxysr,callofdutyfr,reply
blackeysbeats,callofdutyuk,reply
legoironman1,callofdutyuk,reply
kkratossdead,nvidiageforcefr,reply
bladez1889,callofdutyuk,reply
whocanstopus2,planetbraxtopia,reply
skinnylass_rsa,callofdutyuk,reply
arnaud_stmz,nvidiageforcefr,reply
leosohrabi1,callofdutyfr,reply
rushkiller0322,kontrolfreek,reply
arobasejameson,callofdutyfr,reply
_hayze,nvidiageforceuk,reply
leroiducongo1,callofdutyfr,reply
valoukks,callofdutyfr,reply
valentin_syx,callofdutyde,reply
gachutito,nvidiageforcees,reply
acezice,scykik,reply
ijulith,scuffrance,reply
frankievf_,nvidiageforceuk,reply
amidodoula,nvidiageforcefr,reply
vrignaudyann,callofdutyfr,reply
no_mames_100,kontrolfreek,reply
shadimcfry,callofdutyuk,reply
ziataghiles,callofdutyfr,reply
